"E-Field:0","E-Field:1","E-Field:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.6364e-10,8.2794e-19,4.6976e-10,1,0.10382,0.1854,-0.081576,0.01
1.6419e-10,8.3243e-19,4.62e-10,1,0.10419,0.1854,-0.081205,0.01
1.6475e-10,8.3716e-19,4.5657e-10,1,0.10457,0.1854,-0.080834,0.01
1.6531e-10,8.4188e-19,4.5113e-10,1,0.10494,0.1854,-0.080464,0.01
1.6588e-10,8.4661e-19,4.4569e-10,1,0.10531,0.1854,-0.080093,0.01
1.6644e-10,8.5134e-19,4.4026e-10,1,0.10568,0.1854,-0.079722,0.01
1.67e-10,8.5606e-19,4.3482e-10,1,0.10605,0.1854,-0.079351,0.01
1.6756e-10,8.6079e-19,4.2938e-10,1,0.10642,0.1854,-0.07898,0.01
1.6813e-10,8.6551e-19,4.2395e-10,1,0.10679,0.1854,-0.07861,0.01
1.6869e-10,8.7024e-19,4.1851e-10,1,0.10716,0.1854,-0.078239,0.01
1.6925e-10,8.7497e-19,4.1307e-10,1,0.10753,0.1854,-0.077868,0.01
1.6982e-10,8.7969e-19,4.0764e-10,1,0.1079,0.1854,-0.077497,0.01
1.7039e-10,8.8456e-19,4.039e-10,1,0.10827,0.1854,-0.077126,0.01
1.7098e-10,8.8969e-19,4.0337e-10,1,0.10864,0.1854,-0.076756,0.01
1.7157e-10,8.9482e-19,4.0283e-10,1,0.10902,0.1854,-0.076385,0.01
1.7216e-10,8.9995e-19,4.0229e-10,1,0.10939,0.1854,-0.076014,0.01
1.7275e-10,9.0508e-19,4.0175e-10,1,0.10976,0.1854,-0.075643,0.01
1.7336e-10,9.106e-19,4.0479e-10,1,0.11013,0.1854,-0.075272,0.01
